PC=0000003d, SP=ffffffe3, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=ffffffe3, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=ffffffe3, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=ffffffe3, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=ffffffe0, A=00000040, B=00000001stl 00000001
PC=00000026, SP=ffffffe0, A=00000001, B=00000001stl 00000002
PC=00000027, SP=ffffffe0, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=ffffffe0, A=00000001, B=00000001shl 
PC=00000029, SP=ffffffe0, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=ffffffe0, A=00000004, B=00000002sub 
PC=0000002b, SP=ffffffe0, A=fffffffe, B=00000002brlz 00000004
PC=00000030, SP=ffffffe0, A=fffffffe, B=00000002ldl 00000002
PC=00000031, SP=ffffffe0, A=00000001, B=fffffffebrz 00000014
PC=00000032, SP=ffffffe0, A=00000001, B=fffffffeldl 00000003
PC=00000033, SP=ffffffe0, A=00000004, B=00000001adc ffffffff
PC=00000034, SP=ffffffe0, A=00000003, B=00000001stl 00000000
PC=00000035, SP=ffffffe0, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffdf, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffdf, A=00000003, B=00000001stl 00000000
PC=00000038, SP=ffffffdf, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffdf, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffdf, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffdf, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=ffffffdc, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=ffffffdc, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffdc, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffdc, A=00000001, B=00000000shl 
PC=00000029, SP=ffffffdc, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffdc, A=00000003, B=00000000sub 
PC=0000002b, SP=ffffffdc, A=fffffffd, B=00000000brlz 00000004
PC=00000030, SP=ffffffdc, A=fffffffd, B=00000000ldl 00000002
PC=00000031, SP=ffffffdc, A=00000000, B=fffffffdbrz 00000014
PC=00000046, SP=ffffffdc, A=00000000, B=fffffffdldc 00000001
PC=00000047, SP=ffffffdc, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffdc, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffdf, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffdf, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffdf, A=00000003, B=00000001stl 00000000
PC=0000003d, SP=ffffffdf, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=ffffffdf, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=ffffffdf, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=ffffffdf, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=ffffffdc, A=00000040, B=00000001stl 00000001
PC=00000026, SP=ffffffdc, A=00000001, B=00000001stl 00000002
PC=00000027, SP=ffffffdc, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=ffffffdc, A=00000001, B=00000001shl 
PC=00000029, SP=ffffffdc, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=ffffffdc, A=00000003, B=00000002sub 
PC=0000002b, SP=ffffffdc, A=ffffffff, B=00000002brlz 00000004
PC=00000030, SP=ffffffdc, A=ffffffff, B=00000002ldl 00000002
PC=00000031, SP=ffffffdc, A=00000001, B=ffffffffbrz 00000014
PC=00000032, SP=ffffffdc, A=00000001, B=ffffffffldl 00000003
PC=00000033, SP=ffffffdc, A=00000003, B=00000001adc ffffffff
PC=00000034, SP=ffffffdc, A=00000002, B=00000001stl 00000000
PC=00000035, SP=ffffffdc, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffdb, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffdb, A=00000002, B=00000001stl 00000000
PC=00000038, SP=ffffffdb, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffdb, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffdb, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffdb, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=ffffffd8, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=ffffffd8, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffd8, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffd8, A=00000001, B=00000000shl 
PC=00000029, SP=ffffffd8, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffd8, A=00000002, B=00000000sub 
PC=0000002b, SP=ffffffd8, A=fffffffe, B=00000000brlz 00000004
PC=00000030, SP=ffffffd8, A=fffffffe, B=00000000ldl 00000002
PC=00000031, SP=ffffffd8, A=00000000, B=fffffffebrz 00000014
PC=00000046, SP=ffffffd8, A=00000000, B=fffffffeldc 00000001
PC=00000047, SP=ffffffd8, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffd8, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffdb, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffdb, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffdb, A=00000002, B=00000001stl 00000000
PC=0000003d, SP=ffffffdb, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=ffffffdb, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=ffffffdb, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=ffffffdb, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=ffffffd8, A=00000040, B=00000001stl 00000001
PC=00000026, SP=ffffffd8, A=00000001, B=00000001stl 00000002
PC=00000027, SP=ffffffd8, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=ffffffd8, A=00000001, B=00000001shl 
PC=00000029, SP=ffffffd8, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=ffffffd8, A=00000002, B=00000002sub 
PC=0000002b, SP=ffffffd8, A=00000000, B=00000002brlz 00000004
PC=0000002c, SP=ffffffd8, A=00000000, B=00000002ldl 00000003
PC=0000002d, SP=ffffffd8, A=00000002, B=00000000ldl 00000002
PC=0000002e, SP=ffffffd8, A=00000001, B=00000002sub 
PC=0000002f, SP=ffffffd8, A=00000001, B=00000002stl 00000002
PC=00000030, SP=ffffffd8, A=00000002, B=00000002ldl 00000002
PC=00000031, SP=ffffffd8, A=00000001, B=00000002brz 00000014
PC=00000032, SP=ffffffd8, A=00000001, B=00000002ldl 00000003
PC=00000033, SP=ffffffd8, A=00000002, B=00000001adc ffffffff
PC=00000034, SP=ffffffd8, A=00000001, B=00000001stl 00000000
PC=00000035, SP=ffffffd8, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffd7, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffd7, A=00000001, B=00000001stl 00000000
PC=00000038, SP=ffffffd7, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffd7, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffd7, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffd7, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=ffffffd4, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=ffffffd4, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffd4, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffd4, A=00000001, B=00000000shl 
